UserId,Date
"14149","2013-01-21 00:00:00"
"22437","2012-06-21 00:00:00"
"500974","2012-06-27 00:00:00"
"1133199","2012-07-31 00:00:00"
"541686","2012-08-05 00:00:00"
"1009277","2012-11-21 00:00:00"
"643591","2012-02-15 00:00:00"
"1164726","2012-02-24 00:00:00"
"1199797","2012-04-09 00:00:00"
"143305","2012-08-10 00:00:00"
"1009116","2013-01-04 00:00:00"
"427992","2013-01-24 00:00:00"
"897794","2012-08-24 00:00:00"
"1054558","2012-08-29 00:00:00"
"751527","2012-11-14 00:00:00"
"782822","2012-01-22 00:00:00"
"642161","2012-01-27 00:00:00"
"49478","2012-03-05 00:00:00"
"1164929","2012-03-16 00:00:00"
"886931","2012-03-16 00:00:00"
"54017","2013-02-26 00:00:00"
"344286","2012-07-25 00:00:00"
"1362108","2012-09-07 00:00:00"
"704944","2012-10-06 00:00:00"
"1301710","2012-10-18 00:00:00"
"889505","2013-02-07 00:00:00"
"201387","2012-04-17 00:00:00"
"132910","2013-02-22 00:00:00"
"57695","2012-06-18 00:00:00"
"141555","2012-07-10 00:00:00"
"1723493","2012-10-09 00:00:00"
"337","2013-01-07 00:00:00"
"336557","2013-01-10 00:00:00"
"1243316","2012-04-20 00:00:00"
"373861","2012-07-03 00:00:00"
"349661","2012-05-28 00:00:00"
"697154","2012-08-07 00:00:00"
"729242","2012-08-29 00:00:00"
"1468366","2012-11-15 00:00:00"
"896391","2012-12-10 00:00:00"
"153430","2012-01-19 00:00:00"
"1545046","2013-01-17 00:00:00"
"1838048","2013-01-17 00:00:00"
"732016","2012-05-13 00:00:00"
"623041","2012-05-18 00:00:00"
"1027951","2012-06-04 00:00:00"
"842218","2012-11-30 00:00:00"
"453277","2012-03-30 00:00:00"
"138383","2012-05-29 00:00:00"
"1440715","2012-07-02 00:00:00"
"135448","2012-08-18 00:00:00"
"1165036","2012-10-11 00:00:00"
"1488917","2013-01-02 00:00:00"
"215234","2013-01-02 00:00:00"
"22470","2012-02-29 00:00:00"
"180740","2012-03-26 00:00:00"
"781150","2012-03-27 00:00:00"
"900435","2012-04-11 00:00:00"
"944634","2013-02-20 00:00:00"
"62082","2012-06-18 00:00:00"
"514945","2012-07-27 00:00:00"
"1083946","2012-10-04 00:00:00"
"1374267","2012-10-10 00:00:00"
"865448","2012-10-10 00:00:00"
"32632","2012-10-13 00:00:00"
"589558","2012-11-29 00:00:00"
"577485","2012-01-20 00:00:00"
"144665","2012-09-26 00:00:00"
"1215106","2012-09-29 00:00:00"
"1441894","2012-11-03 00:00:00"
"981959","2012-06-25 00:00:00"
"1106367","2012-07-05 00:00:00"
"177596","2012-07-05 00:00:00"
"1076451","2012-07-14 00:00:00"
"368379","2012-07-24 00:00:00"
"1488915","2012-09-27 00:00:00"
"1090657","2012-10-27 00:00:00"
"638994","2012-03-28 00:00:00"
"809387","2012-06-17 00:00:00"
"1370425","2012-08-09 00:00:00"
"185041","2012-09-02 00:00:00"
"468896","2012-07-26 00:00:00"
"1818985","2013-01-18 00:00:00"
"1139398","2012-05-15 00:00:00"
"763468","2012-08-06 00:00:00"
"1059446","2012-12-07 00:00:00"
"712294","2012-03-15 00:00:00"
"1045444","2012-03-23 00:00:00"
"1343560","2012-06-13 00:00:00"
"363363","2012-10-01 00:00:00"
"181776","2012-03-27 00:00:00"
"892313","2012-05-21 00:00:00"
"932225","2012-06-26 00:00:00"
"206367","2012-07-10 00:00:00"
"892256","2012-11-07 00:00:00"
"690897","2012-04-18 00:00:00"
"644969","2012-11-30 00:00:00"
"306084","2012-12-08 00:00:00"
"523612","2012-03-18 00:00:00"
"1393623","2012-08-26 00:00:00"
"1025222","2012-09-28 00:00:00"
"877465","2012-12-12 00:00:00"
"1720391","2013-02-12 00:00:00"
"146622","2013-02-27 00:00:00"
"90741","2012-09-11 00:00:00"
"759316","2012-12-11 00:00:00"
"1192479","2013-02-15 00:00:00"
"1528699","2012-10-09 00:00:00"
"8117","2012-10-19 00:00:00"
"71421","2012-11-09 00:00:00"
"38883","2012-11-09 00:00:00"
"1442874","2012-11-09 00:00:00"
"74015","2013-01-31 00:00:00"
"1287857","2012-08-09 00:00:00"
"458742","2012-01-06 00:00:00"
"1793477","2012-12-26 00:00:00"
"608772","2012-04-05 00:00:00"
"1294802","2012-11-29 00:00:00"
"10396","2012-01-18 00:00:00"
"344480","2012-04-25 00:00:00"
"1041663","2012-08-03 00:00:00"
"1056289","2012-01-10 00:00:00"
"947357","2012-02-19 00:00:00"
"1386886","2012-05-11 00:00:00"
"1536344","2012-08-13 00:00:00"
"47064","2012-11-16 00:00:00"
"1626878","2012-11-16 00:00:00"
"1242465","2012-12-03 00:00:00"
"198187","2013-01-02 00:00:00"
"50358","2012-05-17 00:00:00"
"293522","2012-06-05 00:00:00"
"1574198","2012-11-05 00:00:00"
"452233","2012-11-29 00:00:00"
"610351","2012-12-11 00:00:00"
"404469","2012-01-20 00:00:00"
"1667004","2013-01-16 00:00:00"
"149530","2013-02-10 00:00:00"
"1063041","2012-01-16 00:00:00"
"532978","2012-12-24 00:00:00"
"248066","2012-04-28 00:00:00"
"573083","2012-06-16 00:00:00"
"1178189","2012-06-17 00:00:00"
"320180","2012-07-15 00:00:00"
"22364","2012-07-15 00:00:00"
"110933","2012-11-13 00:00:00"
"170443","2012-01-04 00:00:00"
"1415616","2013-01-25 00:00:00"
"570339","2013-01-25 00:00:00"
"1228454","2013-02-06 00:00:00"
"128245","2012-05-09 00:00:00"
"805787","2012-06-15 00:00:00"
"1168372","2012-08-28 00:00:00"
"1428241","2012-08-28 00:00:00"
"1352969","2012-09-27 00:00:00"
"4830","2012-01-25 00:00:00"
"1694962","2013-01-11 00:00:00"
"785745","2012-08-02 00:00:00"
"299924","2012-08-10 00:00:00"
"1134705","2012-09-21 00:00:00"
"927844","2012-10-28 00:00:00"
"905902","2012-11-14 00:00:00"
"184883","2012-01-08 00:00:00"
"1195594","2012-12-26 00:00:00"
"671619","2013-02-11 00:00:00"
"573626","2012-05-26 00:00:00"
"1342180","2012-07-11 00:00:00"
"68063","2012-10-01 00:00:00"
"1654736","2012-10-16 00:00:00"
"414972","2013-01-02 00:00:00"
"1196823","2013-01-15 00:00:00"
"96100","2013-01-17 00:00:00"
"758280","2012-05-04 00:00:00"
"308012","2012-01-09 00:00:00"
